latitude,longitude,location_area,number_of_rooms,area,rent,floor,has_elevator,has_fireplace,has_outside,sold_price,adress
59.31256953,18.06264935,Södermalm,3,81,"4,670",5,yes,no,yes,6540000,Timmermansgränd 3
59.30738525,18.06723765,Södermalm,2,40.5,"2,516",1,no,no,yes,3850000,Timotejgatan 3
59.30738525,18.06723765,Södermalm,2,43.5,"2,723",2,no,,yes,4500000,Timotejgatan 3
59.30735356,18.06720278,Södermalm,1,27.5,"1,758",1,no,no,,2925000,Timotejgatan 4
59.30735356,18.06720278,Södermalm,2,43,,,no,,,3900000,Timotejgatan 4
59.30711858,18.06693319,Södermalm,2,41,"2,555",2,no,no,yes,4200000,Timotejgatan 5
59.30711858,18.06693319,Södermalm,2,41,"2,555",3,no,,yes,4300000,Timotejgatan 5
59.30715666,18.06659365,Södermalm,2,35.5,"2,106",1,no,,,3730000,Timotejgatan 6
59.30715666,18.06659365,Södermalm,2,43,"2,541",1,no,,yes,3795000,Timotejgatan 6
59.30715666,18.06659365,Södermalm,2,43,"2,645",1,no,no,yes,4400000,Timotejgatan 6
59.30688376,18.06675755,Södermalm,2,44.5,"2,724",0.5,no,no,yes,4110000,Timotejgatan 7
59.30696565,18.06644982,Södermalm,1,21.5,"1,380",0.5,no,,,2360000,Timotejgatan 8
59.30696565,18.06644982,Södermalm,2,43,"2,645",2,no,no,yes,4160000,Timotejgatan 8
59.31499637,18.07529625,Södermalm,2,57,"2,634",2,yes,yes,yes,6050000,Tjärhovsgatan 10
59.31499637,18.07529625,Södermalm,1,29.2,"1,560",2.5,yes,,,3150000,Tjärhovsgatan 10
59.31499637,18.07529625,Södermalm,1,29,"1,682",3,yes,no,no,2915000,Tjärhovsgatan 10
59.31499637,18.07529625,Södermalm,2,48,"2,327",,no,,yes,5025000,Tjärhovsgatan 10
59.31503251,18.07560688,Södermalm,1,30,160,1,no,,,3420000,Tjärhovsgatan 12
59.31507941,18.07596423,Södermalm,2,42,"1,286",1,yes,,,4550000,Tjärhovsgatan 14
59.31507941,18.07596423,Södermalm,3,102,"2,794",1,yes,yes,yes,10850000,Tjärhovsgatan 14
59.31527057,18.07746991,Södermalm,1,19,"2,388",1,yes,,,2250000,Tjärhovsgatan 22
59.31527057,18.07746991,Södermalm,1,19,"2,388",1,no,,,2300000,Tjärhovsgatan 22
59.31527057,18.07746991,Södermalm,1,19,"2,388",1,yes,,,2310000,Tjärhovsgatan 22
59.31527057,18.07746991,Södermalm,1,19,"2,388",2,yes,no,no,2200000,Tjärhovsgatan 22
59.31527057,18.07746991,Södermalm,1,20,"2,514",2,no,,,2640000,Tjärhovsgatan 22
59.31527057,18.07746991,Södermalm,1,19,"2,388",3,yes,no,no,2200000,Tjärhovsgatan 22
59.31527057,18.07746991,Södermalm,1,19,"2,388",3,yes,,,2250000,Tjärhovsgatan 22
59.31527057,18.07746991,Södermalm,1,19,"2,388",3,yes,,,2300000,Tjärhovsgatan 22
59.31527057,18.07746991,Södermalm,1,19,"2,388",3,yes,no,no,2300000,Tjärhovsgatan 22
59.31527057,18.07746991,Södermalm,1,19,"2,388",3,yes,,,2350000,Tjärhovsgatan 22
59.31527057,18.07746991,Södermalm,1,19,"2,388",4,yes,no,no,2250000,Tjärhovsgatan 22
59.31527057,18.07746991,Södermalm,1,19,"2,388",4,yes,,,2300000,Tjärhovsgatan 22
59.31527057,18.07746991,Södermalm,1,20,"2,514",4,yes,no,no,2300000,Tjärhovsgatan 22
59.31527057,18.07746991,Södermalm,1,26,"3,016",5,no,,,2800000,Tjärhovsgatan 22
59.31526739,18.07651764,Södermalm,2,54,"1,411",3,yes,no,no,5700000,Tjärhovsgatan 5
59.31606603,18.08395057,Södermalm,2,56,"1,977",3,yes,no,yes,6900000,Tjärhovsgatan 50
59.31604537,18.08446998,Södermalm,2,61,"3,623",5,yes,no,no,4960000,Tjärhovsgatan 52
59.31489234,18.07453867,Södermalm,1,29,"2,023",2,yes,,yes,3000000,Tjärhovsgatan 6
59.31492436,18.0747833,Södermalm,2,48,"1,307",4,no,,yes,5210000,Tjärhovsgatan 8A
59.31495413,18.07500859,Södermalm,2,48,"1,307",1,no,yes,yes,5010000,Tjärhovsgatan 8B
59.31495413,18.07500859,Södermalm,2,48,"1,307",2,yes,,yes,4600000,Tjärhovsgatan 8B
59.30997438,18.07296194,Södermalm,3,76.5,"4,502",3,yes,no,yes,7700000,Tjurbergsgatan 27A
59.3101759,18.07386902,Södermalm,3,76.5,"4,502",1,yes,,yes,6200000,Tjurbergsgatan 27E
59.31077135,18.07218749,Södermalm,2,42,,,no,,,3700000,Tjurbergsgatan 32
59.31061675,18.07226765,Södermalm,2,40,"2,750",4,,,,4200000,Tjurbergsgatan 34
59.31049772,18.07232939,Södermalm,2,38,"2,621",2,no,,yes,4200000,Tjurbergsgatan 36
59.31049772,18.07232939,Södermalm,2,40,"2,750",2,no,,,3910000,Tjurbergsgatan 36
59.31049772,18.07232939,Södermalm,2,39.5,,,no,,,3765000,Tjurbergsgatan 36
59.31039017,18.07238519,Södermalm,1.5,41.5,"2,871",2,yes,no,no,4000000,Tjurbergsgatan 38
59.31039017,18.07238519,Södermalm,1,39,"2,556",3,yes,,,3695000,Tjurbergsgatan 38
59.31039017,18.07238519,Södermalm,2,43.5,"3,002",3,yes,,,3900000,Tjurbergsgatan 38
59.31039017,18.07238519,Södermalm,2,66,"4,567",5,,no,no,6000000,Tjurbergsgatan 38
59.3122211,18.07025388,Södermalm,2,41,"3,908",6,yes,no,yes,4030000,Tjustgatan 2
59.31217204,18.07068563,Södermalm,1.5,36,"2,590",1.5,yes,no,no,3450000,Tjustgatan 3
59.31217204,18.07068563,Södermalm,1.5,37,"2,646",3,yes,,,3550000,Tjustgatan 3
59.31210682,18.07030898,Södermalm,1,32,"3,207",2,yes,,yes,3000000,Tjustgatan 4
59.31210682,18.07030898,Södermalm,2,32,"3,207",2,yes,no,yes,3300000,Tjustgatan 4
59.31210682,18.07030898,Södermalm,2,33,"3,307",3,yes,,yes,3350000,Tjustgatan 4
59.31808336,18.03094494,Södermalm,1,40,"2,241",1,yes,no,no,4000000,Tobaksspinnargatan 1
59.31743605,18.03091243,Södermalm,1,19,"1,184",0.5,yes,no,no,2300000,Tobaksspinnargatan 10
59.31743605,18.03091243,Södermalm,2,49,"3,063",1.5,yes,,,4600000,Tobaksspinnargatan 10
59.31743605,18.03091243,Södermalm,2,38,"2,375",2,yes,no,yes,4450000,Tobaksspinnargatan 10
59.31743605,18.03091243,Södermalm,2,38,"2,376",3,yes,,yes,4860000,Tobaksspinnargatan 10
59.31743605,18.03091243,Södermalm,2,49,"3,063",3,yes,,,4360000,Tobaksspinnargatan 10
59.31743605,18.03091243,Södermalm,2,49,"3,063",4,yes,no,no,4900000,Tobaksspinnargatan 10
59.31743605,18.03091243,Södermalm,2,48,"3,000",5,yes,no,yes,5600000,Tobaksspinnargatan 10
59.31813777,18.03057943,Södermalm,2,41,"2,381",0.5,yes,no,no,3900000,Tobaksspinnargatan 4
59.31813777,18.03057943,Södermalm,2,40,"2,401",1.5,yes,no,no,4530000,Tobaksspinnargatan 4
59.31813777,18.03057943,Södermalm,2,55,"2,749",2,no,,,5500000,Tobaksspinnargatan 4
59.31813777,18.03057943,Södermalm,2,43,"2,560",2.5,yes,no,no,4650000,Tobaksspinnargatan 4
59.31794533,18.03067338,Södermalm,1,33,"2,156",3,yes,no,no,3470000,Tobaksspinnargatan 6
59.31794533,18.03067338,Södermalm,2,40,"2,613",3,yes,no,no,4100000,Tobaksspinnargatan 6
59.31794533,18.03067338,Södermalm,1,25,,5,no,,,3000000,Tobaksspinnargatan 6
59.31794533,18.03067338,Södermalm,3,83,"5,999",5,no,yes,yes,9525000,Tobaksspinnargatan 6
59.34163543,18.03491982,Vasastan,3,67,"4,696",1,yes,no,yes,8375000,Tomtebogatan 10A
59.34125986,18.03456001,Vasastan,2,71,"3,218",3,yes,yes,,8770000,Tomtebogatan 11
59.34125986,18.03456001,Vasastan,3,71,"3,264",5,yes,yes,yes,12310000,Tomtebogatan 11
59.34143815,18.03458782,Vasastan,1,29,"1,276",0,,,,3425000,Tomtebogatan 12
59.34143815,18.03458782,Vasastan,1,29,"1,276",0.5,yes,,,3425000,Tomtebogatan 12
59.34143815,18.03458782,Vasastan,2,54,"2,375",0.5,yes,no,yes,6750000,Tomtebogatan 12
59.34126653,18.03420045,Vasastan,2,41,"2,155",0,no,,,4700000,Tomtebogatan 13
59.34126653,18.03420045,Vasastan,1,30,"1,738",1,yes,no,no,3590000,Tomtebogatan 13
59.34126653,18.03420045,Vasastan,2,41,"2,477",1,no,no,yes,5370000,Tomtebogatan 13
59.34126653,18.03420045,Vasastan,3,101,"5,089",1,yes,yes,yes,13100000,Tomtebogatan 13
59.34126653,18.03420045,Vasastan,3,113,"6,580",2,no,yes,yes,12500000,Tomtebogatan 13
59.34126653,18.03420045,Vasastan,3,103,"5,177",5,yes,yes,yes,13000000,Tomtebogatan 13
59.34099059,18.03417481,Vasastan,3,86,"4,422",2,no,yes,yes,11200000,Tomtebogatan 13B
59.34099059,18.03417481,Vasastan,2,39,"1,678",,no,no,no,4400000,Tomtebogatan 13B
59.3412725,18.03388255,Vasastan,1,29,,0,yes,,,3400000,Tomtebogatan 15
59.3412725,18.03388255,Vasastan,2,55,"3,791",6,yes,yes,,6100000,Tomtebogatan 15
59.34098523,18.03382933,Vasastan,2,61,"2,955",3,yes,yes,yes,7565000,Tomtebogatan 15A
59.34098523,18.03382933,Vasastan,2,61,"3,128",4,yes,yes,yes,8125000,Tomtebogatan 15A
59.34145442,18.03372691,Vasastan,2,39,"1,455",1.5,yes,yes,no,4755000,Tomtebogatan 16
59.34145442,18.03372691,Vasastan,2,59,"2,295",2,yes,no,yes,6800000,Tomtebogatan 16
59.34145442,18.03372691,Vasastan,2,39,"1,470",3,yes,yes,,4920000,Tomtebogatan 16
59.34128041,18.033468,Vasastan,2.5,61,"2,279",2,yes,,yes,7250000,Tomtebogatan 17
59.34128041,18.033468,Vasastan,2,60,"2,177",3,yes,yes,no,6720000,Tomtebogatan 17
59.34128041,18.033468,Vasastan,2,60,"2,177",3,yes,yes,no,7675000,Tomtebogatan 17
59.34128041,18.033468,Vasastan,2,61,,,no,,,7500000,Tomtebogatan 17
59.34147104,18.03284507,Vasastan,2,68,"4,007",2,,,,7825000,Tomtebogatan 18
59.34129817,18.03252325,Vasastan,2,61,933,2,yes,no,no,7700000,Tomtebogatan 19
59.34129817,18.03252325,Vasastan,2,62,933,3,yes,yes,,7200000,Tomtebogatan 19
59.341053,18.037132,Vasastan,1.5,39,"1,469",3,yes,no,yes,4510000,Tomtebogatan 1B
59.34147761,18.03249447,Vasastan,2,51,"3,496",1.5,yes,,yes,6750000,Tomtebogatan 20
59.34130395,18.03221307,Vasastan,3,95.4,,3,yes,yes,no,10000000,Tomtebogatan 21
59.34130395,18.03221307,Vasastan,2,76.4,"5,101",6,yes,yes,yes,10050000,Tomtebogatan 21
59.34148482,18.032114,Vasastan,3,79,"4,299",1,yes,yes,yes,10150000,Tomtebogatan 22
59.34104525,18.03175462,Vasastan,1,17,812,0,no,no,no,2250000,Tomtebogatan 23A
59.34104525,18.03175462,Vasastan,3,64,"2,288",4,yes,yes,yes,8650000,Tomtebogatan 23A
